content,description,publishedAt,title,source_name,flood_disaster_relevance
"Image copyright South Wales Police Image caption The car went into a canal at Neath Abbey Police have warned motorists to be vigilant in poor weather conditions after a car ended-up in a canal. Parts of south and west Wales have a series of flood alerts in place following heavy downpours on Wednesday. South Wales Police said all occupants of the car were safe after their vehicle plunged into the waterway at Neath Abbey, Neath Port Talbot. The Met Office has issued a further weather warning for more rain in the region on Friday. The heavy rain has led to flood alerts across parts of Carmarthenshire and Pembrokeshire, and on the north Gower coast. A yellow Met Office warning for Wednesday predicted up to 60mm of rain could fall in the affected areas by midday. It comes weeks after the fatal Storm Callum devastated the area. The Met Office yellow warning for Friday is for both heavy rain and strong winds and runs from 09:00 until 21:00. The warning means there could be an impact on travel times and the possibility of some flooding. ""Some intense bursts of rain, as well as autumn leaf fall blocking drains, increases the likelihood of impacts,"" the Met Office had said. Flooding of ""a few"" homes and businesses is likely with spray and surface water causing road and rail delays. Image copyright Met Office Image caption Friday's warning of heavy rain and strong winds covers a slightly smaller area. The rain will be accompanied by strong winds with gusts of 50mph are possible inland, and perhaps 60mph around some coasts. The Met Office says coastal routes, sea fronts and coastal communities will be affected by spray and large waves. Yellow is the lowest of three categories of Met Office warnings which also include amber and red. Amber and yellow are based on the likelihood and possible impacts while red means dangerous weather is expected.",Police urge motorists to take care following a day of heavy rain and flood alerts.,2018-11-07T21:55:06Z,Weather warning as car plunges into south Wales canal,BBC News,0
"Media caption Sue Leake says Flintshire food bank supplies food to about 500 people a month Travellers left food bank staff stunned after a social media challenge saw trolley loads of donations flood in. The Food Bank Challenge has seen travellers post footage online of them buying goods for the needy before nominating a friend to do the same. Food bank volunteers in Flintshire said the overwhelming response has seen supermarkets almost run out of storage space. Project manager Sue Leake joked: ""It's caused us a logistical nightmare."" The foodbank challenge started in late November and has seen scores of videos posted to Facebook and Twitter. Among those taking part is north Wales traveller Martin Gallagher. Mr Gallagher, who works for the Travelling Ahead project, said: ""It was started by a guy called Watson Harrop Junior and it's really taken off from there. ""I think it's struck a such a chord because we know how difficult things are for a lot of people right now, especially families. ""I've known around 60 people who have taken part so far."" Image caption Martin Gallagher says he hopes the charity drive will counter prejudices about travellers Flintshire foodbank boss Ms Leake said staff did not know about the social media challenge until they went to collect food bank donations from a local supermarket. ""Trolleys were full to the brim £80 of 90 worth of shopping,"" she added. ""There was so many donations at one supermarket we had to start collecting items from 5am. ""When we heard about the foodbank challenge - we then realised where these donations had come from."" Ms Leake said volunteers were incredibly grateful for the gesture to the foodbank. She added: ""Travellers often get a bad press, but they've got big hearts and the experience we have had has been overwhelmingly positive.""",A food bank in north Wales says trolley loads of donations have left them 'utterly gobsmacked.,2018-12-09T01:37:54Z,Travellers' foodbank challenge sees donations flood in,BBC News,0
"Image copyright Royal Botanic Gardens Kew Image caption A mini oak tree growing in a test tube A tiny oak tree emerges from a test tube in the laboratory. The seedling of the mighty oak has had an unusual start in life. Raised using techniques pioneered in fertility labs, it is the product of new efforts to preserve the seeds of wild plants. The world is losing plants at an unprecedented rate, with about one in five thought to be at risk of extinction. ""It's an insurance policy against extinction in the wild,"" says Dr John Dickie of Kew's Millennium Seed Bank at Wakehurst in West Sussex. "" In situ conservation, in a reserve, is always the best, because then evolution can happen all the time. This is a very cost-effective back-up in case that system fails."" Image copyright Getty Images Image caption Oak tree in the countryside As a back-up in the event of doomsday scenarios such as war, seeds of crops and wild plants are being stored in bomb-proof, flood-proof, radiation-proof vaults. The goal is to store at least 75% of threatened plant species by 2020. But new predictions suggest this is unlikely to be achieved, because many seeds cannot be stored using conventional means. According to models published in the journal Nature Plants, 36% of critically endangered plant species, 33% of all trees and about 10% of medicinal plants fall into this category. ""Not all the plant species can be banked in the way of dried seeds in the freezer like we do in the seed bank,"" says Daniel Ballesteros, who works on cryopreservation at the Millennium Seed Bank. ""For example, we have the oaks and the chestnut that have desiccation-sensitive seeds and if we dry them, we kill them."" Researchers are investigating techniques such as cryopreservation for these hard to store seeds, which include staples such as coffee, chocolate and avocados, as well as heritage trees like the oak. Image copyright Royal Botanic Gardens Kew Image caption Cryopreservation relies on freezing plant embryos Cryopreservation involves removing the plant embryo from the rest of the seed, then freezing it at very low temperatures in liquid nitrogen. In this way, trees such as the oak can be stored for the future. But new investment will be needed to perfect the techniques and to build cryopreservation facilities alongside conventional seed banks. The Millennium Seed Bank already houses almost 40,000 wild plant species, which are stored, dried and kept at -20C in the vaults. Others around the world focus on crops, such as rice and their wild relatives. In a laboratory above the vaults, seeds collections manager, Janet Terry, is sorting through a shipment of seeds from Tanzania, which will be added to the collections. They could have value as foods, fuels or medicines. ""We don't know what's in them,"" she says. ""But the really important thing is that with our changing climate - we collect and preserve these things before they've gone - and then we can use them for any purpose we can find for them."" Banked seeds are already proving useful. Image copyright Getty Images Image caption Meadowland is now rare in the UK In a meadow overlooking the medieval wooded landscape of the High Weald, I meet conservation manager Ian Parkinson. Meadows are now a rare and threatened habitat in the UK. Seeds of local plants kept at the seed bank are being used to restore the natural biodiversity of the landscape. He says the seed bank is like a bank account in that you can make deposits and withdrawals. ""So some seeds are stored there for the future,"" he says. ""But, really a seed is better in the ground growing and that's what we like to do here."" Follow Helen on Twitter.",Why trees grown in test tubes could be the answer to preserving the world's forests for the future.,2018-11-03T06:01:42Z,'Test tube trees': An insurance policy against extinction?,BBC News,0
,"It overtook a queue of traffic and went into the water during high tide at Wallasea Island, Essex.",2019-03-25T14:28:34Z,Bus driver 'misjudges' Wallasea Island flood water,BBC News,0
"Image copyrightMet OfficeImage caption
 There is a ""be prepared"" warning for wind until 13:00 GMT
There are three flood alerts in place across parts of Wales due to heavy rainfall this morning.
Strong winds have also closed one lane of the M48 Severn Bridge in both directions between the A403 and the A466 at Chepstow.
Natural Resources Wales has listed ""be prepared"" flood alerts in Powys, Denbighshire and Gwynedd.
A yellow warning for wind also is in place across parts of east Wales until 13:00 GMT, according to the Met Office.
The Natural Resources Wales flood warnings are for:
Lower Dee Valley: Llangollen to Trevalyb Meadows
Powys: Afon Vyrnwy, Afon Tanant and Afon Cain",Three flood warnings across parts of Wales are in place due to heavy rainfall.,2019-03-14T07:41:55Z,Flood and wind weather warnings in place across Wales,BBC News,0
"Image copyrightHyundai
Hyundai has shown off a small model of a car it says can activate robotic legs to walk at 3mph (5km/h) over rough terrain.
Also able to climb a 5ft (1.5m) wall and jump a 5ft gap, the Hyundai Elevate could be useful for emergency rescues following natural disasters, it said.
It was part of a project exploring ""beyond the range of wheels"", it added.
The concept has been in development for three years and was unveiled at the CES technology fair in Las Vegas.
""When a tsunami or earthquake hits, current rescue vehicles can only deliver first responders to the edge of the debris field. They have to go the rest of the way by foot,"" said Hyundai vice-president John Suh.
""Elevate can drive to the scene and climb right over flood debris or crumbled concrete.""
Mr Suh also suggested that wheelchair users could be collected via the vehicles, which could ""walk"" up to the front door of a building with step-only access.
Prof David Bailey, from Aston Business School, said: ""Often car companies bring out lots of concepts which may or may not make it into production but it's great to think in new ways about mobility.
""For most of us, it's going to be wheels and roads but in extreme situations there may be scope for this sort of thing.
""There may well be applications in terms of emergency services - but there are very big technological challenges to make this sort of thing.""",The concept car has wheels on robotic legs which can unfold in rough terrain.,2019-01-08T10:54:13Z,Hyundai shows off 'walking car' at CES,BBC News,0
"Image copyright SSTL Image caption Sydney Harbour: The famous bridge and opera house captured at night Sydney Harbour and the Egyptian pyramids feature in the debut images from the first all-UK radar spacecraft. NovaSAR was developed jointly by Surrey Satellite Technology Limited of Guildford and Airbus in Portsmouth, and launched to orbit in September. Its pictures are now being assessed for use in diverse roles, including crop analysis, flood and forestry mapping, and maritime surveillance. The intention ultimately is to fly a constellation of NovaSAR-like sats. Such a network would enable repeat images of locations to be acquired more quickly - something that is important if changes detected in a scene require a rapid response. Reacting to an oil spill at sea would be a good example. Image copyright AIRBUS DS Image caption NovaSAR has something of the look of a cheese-grater Satellite radar's great advantage is that it sees the Earth's surface in all weathers and at night. Many other types of Earth observation (EO) spacecraft need daylight and cloud-free skies to gather their data. The picture of Sydney Harbour, with its famous bridge and opera house, illustrates this point: it was taken after dark. The image is resolving objects that are six metres across and larger. ""What interests me most in this picture are the boats,"" said Luis Gomes, the chief technology officer at SSTL. ""NovaSAR is seeing not only large vessels but also much smaller pleasure craft. We can't see the shape of them, but we can certainly see that they are there. And that's encouraging because one of the main objectives of NovSAR will be maritime surveillance,"" he told BBC News. The satellite is equipped with a receiver that can pick up Automatic Identification System (AIS) radio signals. These are the positional transmissions that large ships are obliged to broadcast under international law. Vessels that tamper with or disable these messages very often are engaged in smuggling or illegal fishing activity. If such ships appear in NovaSAR's radar pictures, they will be reported to the authorities. Image copyright SSTL Image caption Cairo: The radar picks up a range of different terrains The Cairo scene, featuring the Great Pyramids, showcases the satellite's ability to discern different land uses. The picture includes buildings, cultivated fields, trees, and desert/rock. Martin Cohen, a radar expert with Airbus, commented: ""The first image from orbit is always a key moment for everyone involved in such a mission, and this is no exception. The quality of the imagery is a credit to the hard work and dedication of the whole team here in Portsmouth. ""We look forward now to supporting SSTL through the rest of the commissioning phase, and seeing the mission begin full operational use."" There are a range of partners involved in assessing NovaSAR's capability. These include EO specialists in India and Australia. The UK's Ministry of Defence also wants to see what the spacecraft can offer Britain's armed forces. UK engineers have long worked in space radar but their technology has previously always gone on broader missions, such as those for the European Space Agency. NovaSAR, in contrast, is solely a British initiative. Science Minister Sam Gyimah is visiting SSTL on Friday. The UK government invested £21m in the project. ""Yet again we can see UK research and innovation that is truly out of this world,"" he said. ""This 'eye in the sky' can capture an image a dozen times wider than the Strait of Dover and the data it provides can help crack problems from illegal shipping to alerting us to damaging pollution that needs to be countered."" Image copyright SSTL Image caption Artwork: NovaSAR is an S-band radar satellite with a number of modes for different applications Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos",Sydney Harbour and the Egyptian pyramids feature in debut images from the first all-UK radar spacecraft.,2018-11-23T07:05:01Z,NovaSAR: UK radar satellite returns first images,BBC News,0
"Image copyright EA Image caption Battlefield 3 was one game made unplayable by the attacks A US man accused of knocking game servers offline in a series of attacks has pleaded guilty to charges of computer hacking. Sony, EA Origin and Steam were all hit by Utah resident Austin Thompson's attacks in 2013 and 2014. Mr Thompson also admitted to causing damage costing $95,000 (£73,000) as part of his plea agreement. The maximum sentence for the crimes is 10 years in jail and fines of up to $250,000. In the attacks, gamers were prevented from playing as Mr Thompson swamped connections to servers with huge amounts of bogus data - so-called denial of service attacks. Imminent attacks were announced via a Twitter account called ""derptrolling"" which also featured screenshots of error messages caused by the flood of data. Many of the game servers were offline for hours at a time. Tweets sent via the derptrolling account suggested more than one person was behind the attacks, but Mr Thompson is the only person mentioned in a Department of Justice (DoJ) statement. ""Denial of service attacks cost businesses millions of dollars annually,"" said US attorney Adam Braverman in the DoJ statement. ""We are committed to finding and prosecuting those who disrupt businesses, often for nothing more than ego."" Mr Thompson is due to be sentenced at a hearing on 1 March, 2019.",Gamers were prevented from playing for hours by attacks that targeted popular titles,2018-11-09T12:06:22Z,US man pleads guilty to game hacking charges,BBC News,0
"Image copyright Karen Charmaine Chanakira It's a year since movie mogul Harvey Weinstein checked himself into a sex addiction clinic after the flood of rape and sexual harassment allegations that gave rise to the Me Too movement. The BBC's Sangita Myska has been meeting people who say they've suffered from sex addiction, in order to understand whether it really exists, and if so, what it is. Neila's first job in the UK, after she arrived from Central Asia 15 years ago, was on the trading floor of a finance company dominated by what she describes as ""alpha-males, earning million-pound bonuses"". She was one of only two women on the team, and her male colleagues would sometimes try to provoke them by playing pornography on the big screens that should have been showing market data. ""I didn't like it but I was at the start of my career, making my way in the city. It was good money and a glamorous job and I didn't want to lose that,"" she says. ""I knew the men in the office were looking for a reaction - they wanted to shock me. So I started going home and watching porn videos and DVDs on my own, so I could brush it off in the office."" Image copyright Karen Charmaine Chanakira But quickly Neila got hooked. Her upbringing in a socially conservative family where sex was never discussed left her ""defenceless"" she says. Every day she was thinking about how quickly she could get home to choose a film and a sex toy and start to masturbate. She describes the process for me. ""It starts slowly. You get aroused. And then you just watch and simultaneously you switch on your equipment. All your senses are stimulated, watching something so exciting. Your mind goes elsewhere. You know it's not going to stop until you press the button. You know you're in control of it, of every aspect of your pleasure, and it gives you orgasms you just can't have with another human being - and certainly not a man. ""The whole process of masturbating and coming will take you a maximum of five to 10 minutes but you pull back because you don't want to exit this state you are in, which is basically like being intoxicated."" Using this technique, called ""edging"", she was watching porn for two to three hours, seven days a week. Find out more Listen to Addicted to Sex by Sangita Myska on Radio 4 on 5 November at 20:00, repeated on 7 November at 11:00 Download the Addicted to Sex podcast - six full and very frank conversations Sangita recorded for the programme Her behaviour was compulsive, she says. If she couldn't watch porn, she craved it. She would also spend hours justifying it to herself, however detrimental it had become: ""Everything is safe, you're not going to catch an STD from watching porn, you don't have to wear make-up. Everything on your terms and with guaranteed results."" Image copyright Karen Charmaine Chanakira But to continue getting those guaranteed results, the type of pornography she was watching took a darker turn. ""Usually you start watching vanilla porn - that means male-on-female or female-on-female, normal stuff - and after a while it doesn't work any more. Your body gets used to this release. It's similar to drug addiction, you need to increase the dose, so in order to increase it you watch more hardcore stuff. ""So you start watching anal, and then after a while that becomes a new normal for you so you need to watch something more hardcore and then you start searching for extreme stuff like gang bangs."" This was very uncomfortable for Neila, who began to worry that she was ""a perv"", as she puts it. This issue of shame is a big one for every person who believes they are a sex addict. Shame simultaneously makes them want to hide away and drives them further into their compulsion. ""It's a cocktail of arousal and shame,"" Neila says. Porn also changed her attitude towards men. It meant that when she looked for a potential partner, their personalities and character became almost irrelevant. ""I would look through their shirts to see if they had a six-pack,"" she says. ""The average UK penis size wasn't enough for me... but it's not a good way to choose a life partner."" Image copyright Karen Charmaine Chanakira She had a series of failed relationships, but it was the fact she felt compelled to watch films featuring violence against women to get a ""high"" that really began to terrify her. ""I had to ask myself, what's next? Will I end up watching a snuff movie just to satisfy my addiction?"" she says. Neila left the City and re-trained as a counsellor. Now in her 40s, she specialises in treating other patients who believe they are sex addicts. She trained at the Laurel Centre in central London, one of only a handful of clinics in the UK providing specialist support of this kind. To get it you have to pay, sometimes hundreds of pounds per hour, because the NHS doesn't recognise sex addiction as a genuine condition. But it's estimated that hundreds, if not thousands, of people seek treatment in the UK each year, the vast majority of them men. Does sex addiction exist? The World Health Organization recently added Compulsive Sexual Behaviour Disorder to its list of recognised disorders The UK's National Health Service doesn't recognise sex addiction as an illness - and doesn't keep official statistics The NHS web page on addiction notes that addiction is most commonly associated with gambling, drugs, alcohol and nicotine - and adds: ""being addicted to something means not having it causes withdrawal symptoms"" Private clinics in the UK claim that hundreds of people, if not thousands, approach them every year for help Where to get help Part of the reason for this may be that women are more ashamed and find it harder to confess to the problem. But whatever the explanation, Paul is more typical of those seeking help for this condition - both because he's a man, and also because he got his thrills from having sex rather than watching porn. In his 50s, tall and well-dressed in a crisp white shirt and jacket, Paul tells me his addiction began 30 years ago at university. He had a loving relationship with his girlfriend but one day, it seems, that wasn't enough for him. ""I loved her, I really did but for whatever reason I went to see a prostitute,"" he says. ""I was desperate for a thrilling sexual encounter and I knew that this was something I shouldn't be doing. I'd never be unfaithful to her with another girl but this felt like something different."" Within weeks, his behaviour had changed completely. ""I had about six girlfriends on the go at the same time and I was seeing two or three sex workers a week. It's almost like ordering a pizza in because I was hungry. I want something, I order it in, I forget about it."" Image copyright Karen Charmaine Chanakira He says he knew something was very wrong. But just as he began considering whether or not to confide in someone, or even get help, he landed his first job in London - and found himself in an environment where this kind of behaviour was actually encouraged. ""Life was unbelievable. Flying around the world on Concorde, earning a lot of money, frequenting the lap-dancing bars of London - you find yourself going out for a sexual thrill with the people you work with,"" Paul remembers. ""So at this point [I'm thinking] 'Maybe I haven't got a problem, maybe I'm just a normal sort of guy?'"" Even then, a nagging doubt remained at the back of Paul's mind. He would go with colleagues on a ""grand night out"" to the lap-dancing bars - so-called because each spent £1,000 per night - on a Tuesday, perhaps, and maybe again on a Thursday. But Paul would be the only one going back on a Saturday. Like Neila, Paul says he began to ""chase the high"". So much so, that despite being heterosexual, for 10 years he also had sex with men. ""I switched completely from women to men. So all my physical acting out was with men. I can honestly say that I haven't got one ounce of homosexuality in me. It's really just seeking a higher thrill, that's what it came down to. And throughout this whole period I had some very very nice girlfriends."" Again, as with Neila, Paul says his behaviour was compulsive. If he wasn't having sex, he craved it. And again it wasn't reaching orgasm that was the goal - it was the set of behaviours around it that he was hooked on. Like Neila, he would stretch out the experience for hours at a time. ""The thrill is the build-up, the anticipation of what you're going to be doing the very last thing that you want to do is to ejaculate because at that point the whole process is over."" It took Paul a long time to get hooked on porn, after first discovering it at the age of 12. ""I did come across some magazines in my parents' house. I found them hidden when my parents were out. So it was a reasonably early exposure to porn. But, if I'm honest I can't remember feeling sexual excitement."" That changed when high-speed internet arrived. At that point his focus shifted from sex workers to online porn, which he would watch for hours on end. Image copyright Karen Charmaine Chanakira Paul has received long-term support from the Laurel Centre, and now believes he is well on the way to recovery. He has not used sex workers for several years or watched porn for months, he says. His goal is to settle down with one woman. ""It's a lonely disease You get to the point where you realise that you've got a limited amount time on the planet. I've never had an enjoyable sexual relationship with someone I care for and love. That's the one thing that's been missing for 30 years."" In June, the World Health Organization officially recognised what it calls Compulsive Sexual Behaviour Disorder in its international classification of diseases. Therapists I've spoken to say that even though this falls short of classifying the condition as an addiction, it may encourage the UK government to provide counselling services on the NHS. In the last few weeks I have spoken to many other people who believe they are sex addicts, and I no longer believe it's important whether the condition is called an addiction or not - because all of them clearly need help to solve a problem that is wrecking their lives. When it comes to Weinstein, and the suspicion that checking into a sex addiction clinic could signal an attempt to dodge responsibility for his behaviour, the people I've spoken to understood the difference between consensual sex and rape even at the height of their compulsive behaviour. None, as far as I know, has committed a crime. In my view, sex addicts primarily hurt themselves and their partners - sex predators abuse victims and attempt to disguise it. You can hear Sangita Myska's documentary, Addicted to Sex on BBC Radio 4 on 5 November at 20:00, repeated on 7 November at 11:00. To listen to the full and very frank conversations Sangita recorded for the programme, download the Addicted to Sex podcast (produced by Sarah Shebbeare) here, or wherever you normally download your podcasts. All illustrations: Karen Charmaine Chanakira for the BBC. You may also be interested in: ""I remained a virgin until my late 30s. I have no idea how unusual that is but I experienced a sense of shame, and I felt stigmatised,"" writes Joseph, now a 60-year-old widower. ""A lot of it was due to a lack of self-esteem and a deep sense that people would not find me attractive."" Read: 'I'm sad that I didn't have sex until I was 37' Join the conversation - find us on Facebook, Instagram, YouTube and Twitter.",It's a year since movie mogul Harvey Weinstein checked himself into a sex addiction clinic - but does sex addiction really exist?,2018-11-05T00:05:01Z,Does sex addiction really exist?,BBC News,0
"Image copyright Bloomberg Image caption Researchers gained unprecedented access to participants' phones to follow sharing behaviours A rising tide of nationalism in India is driving ordinary citizens to spread fake news, according to BBC research. The research found that facts were less important to some than the emotional desire to bolster national identity. Social media analysis suggested that right-wing networks are much more organised than on the left, pushing nationalistic fake stories further. There was also an overlap of fake news sources on Twitter and support networks of Prime Minister Narendra Modi. The findings come from extensive research in India, Kenya, and Nigeria into the way ordinary citizens engage with and spread fake news. Participants gave the BBC extensive access to their phones over a seven day period, allowing the researchers to examine the kinds of material they shared, who they shared it with and how often. The research, commissioned by the BBC World Service and published today, forms part of "" Beyond Fake News "" - a series across TV, radio and digital that aims to investigate how disinformation and fake news is affecting people around the world. In all three countries, distrust of mainstream news outlets pushed people to spread information from alternative sources, without attempting to verify it, in the belief that they were helping to spread the real story. People were also overly confident in their ability to spot fake news. The sheer flood of digital information being spread in 2018 is worsening the problem. Participants in the BBC research made little attempt to query the original source of fake news messages, looking instead to alternative signs that the information was reliable. These included the number of comments on a Facebook post, the kinds of images on the posts, or the sender, with people assuming WhatsApp messages from family and friends could be trusted and sent on without checking. Widespread sharing of false rumours on WhatsApp has led to a wave of violence in India, with people forwarding on fake messages about child abductors to friends and family out of a sense of duty to protect loved ones and communities. Media caption The digital epidemic killing Indians According to a separate BBC analysis, at least 32 people have been killed in the past year in incidents involving rumours spread on social media or messaging apps. We examined one case in detail - the deaths of Nilotpal and Abhishek in Assam - while another reporter travelled to Mexico to see how WhatsApp rumours fuelled similar deadly violence there. The research in Africa suggested that national identity was insignificant in the spread of fake news. In Kenya, scams related to money and technology were a stronger driving force, contributing to around a third of stories shared on WhatsApp, while fake stories relating to terrorism and the army were widely shared in Nigeria. In both countries, health scares were prominent among widely-shared fake news stories, and many news consumers visited both credible and fake news sources without distinguishing between them. Researchers spent hundreds of hours with 80 participants across the three countries, interviewing them at home about their media consumption as well as examining how they shared information via WhatsApp and Facebook during a seven-day period. They also conducted extensive analysis of how fake news spreads on Twitter and Facebook in India, to understand whether the spread of fake news was politically polarised. About 16,000 Twitter accounts and 3,000 Facebook pages were analysed. The results showed a strong and coherent promotion of right-wing messages, while left-wing fake news networks were loosely organised, if at all, and less effective. The methodology By Santanu Chakrabarti We set out with this research to try to answer the question of why ordinary citizens spread fake news - a little-understood part of the fake news equation. When a phenomenon is new or not very well understood, qualitative research techniques are useful. These techniques - in this case, in-depth interviews and up-close observation of sharing behaviours - allowed us to explore fake news with nuance, richness and depth. Because we wanted to know what was spreading in encrypted private networks like WhatsApp, ethnographic approaches - visiting people at home - were essential. This is the first known research project in these countries that uses these methods to understand the fake news phenomenon at the level of ordinary citizens. It is also the first to use data science and network analysis techniques to understand how known sources of fake news are organised on Twitter and Facebook, and what their connections are with audiences. This story is part of a series by the BBC on disinformation and fake news - a global problem challenging the way we share information and perceive the world around us. More stories published today: You can find more stories and more information about this series here.",BBC research shows how a desire to reinforce national identity is pushing people to share fake news.,2018-11-12T00:32:52Z,"Nationalism a driving force behind fake news in India, research shows",BBC News,0
"Media caption Milford Haven was one of the areas to suffer flooding Roads and homes have been flooded amid weather warnings that more heavy rain could be on the way to south Wales. There are four flood warnings in place in Solva and Haverfordwest in Pembrokeshire - meaning flooding is expected - as well as 12 flood alerts. Pembrokeshire council said ""a number of roads"" were flooded and were being dealt with on a ""priority basis"". Water levels are set to rise at high tide at 19:00 GMT and people have been urged to move cars to high ground. The Met Office has issued an amber weather warning for rain in Pembrokeshire and parts of Carmarthenshire from 13:00 to 23:00. Natural Resources Wales said with heavy rain forecast to fall on already saturated ground, localised flooding and travel disruption could be expected. Its teams are continuing to check flood defences and people have been told to take care near fast-flowing and swollen rivers and not to drive through flood water. Image copyright Vickie Pearson Image caption Sandbags were placed outside the front door of the McDonald's restaurant in Merlin's Bridge, Pembrokeshire Pembrokeshire council has warned home owners and businesses in Haverfordwest town centre to prepare for possible flooding on Friday night. More heavy rain is expected to ""significantly increase"" the level of the River Cleddau, with Quay Street, the Riverside, Prospect Place and properties near Cartlett Brook. expected to be most at risk. Milford Haven and Pembroke libraries are closed, along with a number of other commercial properties. Scolton Country Park in Haverfordwest was the wettest place in the UK on Thursday, according to the Met Office, with 45.6mm (1.8in) of rain. On Thursday, fire crews tackled flooding inside homes in Angle, Crundale in Haverfordwest and 10 properties in Haven's Head and Lower Priory, Milford Haven, had to be evacuated. Image caption Emergency services looked at flood water in Milford Haven on Friday morning Traffic Wales reported people were evacuated from Lower Priory due to most roads being flooded. First Cymru Buses said it could not access the car park at Tesco in Lower Priory to pick up customers and seeveral roads in Camrose, Slebech and Boncath have also been hit by flood water. A spokesman for Dyfed Powys Police said: ""Everyone is safe and there is no threat to life at this current time."" Image caption Fire crews have been pumping water into Milford Haven marina to reduce flooding levels Image copyright Dyfed-Powys Police Image caption Emergency services waded through flood water in the Lower Priory area of Milford Haven overnight Work has also been carried out to tackle water around a service station at Dinas Cross near Fishguard. The amber warning for heavy rain and wind is in place from 13:00 until 23:00, while a yellow warning covers the remainder of south Wales until midnight. Up to 50mm (1.97in) of rain could fall on higher ground, with wind speeds of up to 60mph (95km/h) along some coasts. Image copyright Met Office Image caption The weather warnings cover the majority of south Wales for Friday afternoon and evening Amber is the second of three categories of Met Office warnings, while yellow is the lowest. The Met Office said the warning meant flooding is likely and fast flowing floodwater could cause a risk to life. This comes just four weeks after Storm Callum caused flooding across south Wales, with several areas badly affected by high winds and heavy rain.",Heavy rain and flooding is expected on Friday afternoon as the Met Office issues an amber warning.,2018-11-09T12:55:40Z,Flooding hits roads and homes in Pembrokeshire as more rain due,BBC News,0
"Image caption Houses in Llanelli suffered flooding on numerous occasions before the work was carried out It was the worst flooding seen for 30 years - but while all around were knee-deep in water, one town escaped. A 21-year-old man was killed in a nearby landslip, homes were flooded while transport was severely disrupted because of the amount of rain. But amid October's deluge, one town kept its properties above water despite its Victorian drainage system. Llanelli's new £95m anti-flood scheme has been hailed as the saviour that protected the Carmarthenshire town. Before the scheme was introduced, during times of heavy rain, the excess water gushed into the antiquated drainage system, causing flood water to become contaminated with sewage. This often meant that - as in the 2010 storms - that sewage water would back up in homes, causing severe damage. But a new project, known as RainScape, was introduced in 2013 which uses a series of shallow basins, channels and porous paving to help divert flood water away from the sewerage system. It does this by separating rain water from the existing system, slowing it down and redirecting it to local rivers and watercourses or into the soil. As a result, not a single home in the town was flooded, despite nearby Carmarthen being badly affected. Image copyright Angharad Lewis Image caption One of the main streets in Llanybydder, Carmarthenshire, was hit by flooding Computer modelling from Welsh Water shows that, were it not for RainScape, it was likely more than 100 homes would have been flooded. ""We have had a history of sewer flooding listed on our risk register in Llanelli,"" Teresa O'Neill, of Welsh Water told the BBC's Eye on Wales show. ""Llanelli has a combined-sewer system, collecting water from inside homes, as well as rainwater from roads and roofs. ""Now the climate is changing and it rains more heavily and more often, sometimes our sewers can't cope when this happens."" Image caption Steve Wilson, managing director of Welsh Water, in front of one of the ""planters"" used in the flood defences The project follows examples in the Swedish city of Malmo and Portland in the USA. It uses computer-based modelling - and records of previous flooding events - to predict where flooding was most likely to occur and sought to intervene. In Storm Callum, Welsh Water say it saw off 1,690 tonnes of flood water and stopped it from reaching the sewerage system. Properties in areas that commonly flood, such as Dafen and Pemberton, also remained dry. ""The RainScape scheme has been developed in recognition of the geography of Llanelli, with steep slopes coming down onto a narrow coastal strip, meaning we are susceptible to surface water,"" said local MP Nia Griffith, It is now likely to be tested again as Storm Diana hits west Wales. ""Now that this huge investment has been made, the planning committee of Carmarthenshire County Council needs to take the utmost care not to grant planning permission to developments that could flood or could increase the risk of flooding to the surrounding area,"" added Ms Griffith. From January 2019, it will be a legal requirement for all new developments in Wales to have sustainable urban drainage schemes and the country's second system will be put in place in Grangetown in Cardiff.","When the deluge came down, one coastal town escaped flooding thanks to a £95m scheme.",2018-11-28T14:41:18Z,How Llanelli avoided flooding during Storm Callum,BBC News,0
"Media captionCars have been swept away and homes damaged by the floodwaters
At least 17 people have been killed in flash floods in Iran, which have coincided with the Persian New Year. 
Heavy rain has caused flooding throughout most of the country with more rainfall predicted over the coming days. 
Iran's disaster management authorities say that more than 70 people have been injured. 
Flood warnings have been issued in almost all provinces, including the capital Tehran.
In Shiraz, flood waters ran through the city damaging properties and vehicles. 
An eyewitness said he had seen many people swept away by the water. 
The governor of Fars, Enayatollah Rahimi, told state television that aid workers have been sent to affected areas. 
He added: ""I am urging people to stay inside their homes in order to remain unharmed.""",Flood warnings have been issued in almost all provinces including the capital Tehran.,2019-03-25T17:40:07Z,Flash floods kill at least 17 in southern Iran,BBC News,1
